date,count_runs,min_rank_first_fail,max_score,deviation_early_fail_high_score,avg_rank_in_run_first_fail
2026-02-24,1,28,30,,29.0
2026-02-23,3,3,25,22,16.0
2026-02-22,1,22,28,,25.33
2026-02-20,3,10,26,16,21.86
2026-02-19,1,15,21,,17.67
2026-02-18,1,13,30,,21.5
2026-02-17,3,5,25,20,14.9
2026-02-13,5,4,32,28,20.13
2026-02-12,3,11,25,14,18.86
2026-02-11,2,6,30,24,16.33
2026-02-09,6,12,27,15,20.69
2026-02-08,6,6,30,24,19.22
2026-02-07,6,7,29,22,19.0
2026-02-06,1,22,22,,22.0
2026-02-04,2,3,24,21,15.14
2026-02-03,4,6,30,24,20.27
2026-02-02,10,5,33,28,19.17
2026-01-30,5,5,28,23,18.33
2026-01-29,5,3,27,24,15.11
2026-01-28,5,4,26,22,18.63
2026-01-27,3,6,30,24,22.56
2026-01-26,4,11,27,16,19.92
2026-01-25,1,13,25,,18.0
2026-01-23,6,8,30,22,21.29
2026-01-22,3,8,24,16,19.29
2026-01-21,8,5,27,22,18.17
2026-01-20,5,8,34,26,20.56
2026-01-19,5,5,29,24,19.93
2026-01-18,4,7,30,23,17.26
2026-01-16,2,3,29,26,21.4
2026-01-15,6,3,26,23,16.93
2026-01-14,2,12,32,20,20.8
