game_id,puzzle_id,puzzle_rating,puzzle_initial_ply
Ju6DfgRH,xXBll,1077,32
SnLGul9T,wm3Ut,1148,70
QXQT22yX,chQiz,1272,14
7vSxGxqb,kVmdH,1282,34
WD8LN1vA,i0Fst,1282,26
TgL41g6t,bzPcg,1317,68
AtnAHqLA,zACwB,1325,70
hwuyXGhW,yOO8i,1181,46
m7nnbIsD,khxEa,1296,62
EGglMq4O,AlCCl,1326,44
EYiFDn0p,YQfNW,1075,71
LJgw5dbY,aRpqq,1271,51
mF21jefM,MzwZz,1293,59
LBjYF8GP,aBd0d,1379,27
o2IRj6E3,FTvhx,1411,97
QXF6MdM7,5SeaE,1147,26
Jx5w3Jtt,7id5U,1187,34
bFkmDuea,6Jyc2,1394,40
40Rlab41,kIO8v,1417,56
acfXOpBB,JELIf,1142,57
MQ1WYZMS,xihS6,1155,63
n3AZESIa,BSQUy,1189,135
a7rHhEcj,cT4lT,1277,43
lX86S531,6BIhz,1279,63
KyDzxYur,6v8GO,1301,98
BuTaVXBR,5oMtn,1312,32
1CIx9CM9,P99aq,1430,26
BIXCtOqN,gQHuk,1183,71
yP6zLjQE,TUo50,1299,47
i8QKLUsV,ZwtcN,1398,77
LRAlor8u,vRNKk,1397,95
21YwmdAn,NLder,1154,66
6eP4SVXl,KFGxc,1293,64
GGhpthgY,f9Avo,1417,72
uhB0wpXR,Z6cqt,1074,68
FHitqTHI,tbuY4,1147,28
UO3MS4W6,060Q4,1274,48
lPERUZBn,urRUv,1299,26
4yJaIZHI,FPRp9,1313,22
QYnEZtjo,7bkCS,1379,26
KfJ7qqrC,BDLX2,1095,78
Z6a5MhqM,zJeUc,1141,52
EsiZebtG,nwTQB,1308,76
LniBgc0P,oAjv1,1414,12
8wyfVqLO,GqTwI,1435,26
aEFleb0j,RHmwD,1308,50
OLDz5P2a,gT91U,1442,54
1SEgF5kL,BhbdJ,1333,80
N68GQoln,5OLZR,1451,34
nUgIrPQB,WYMQh,1444,30
LwRkIPbY,QnpRC,1066,38
HIicyn1O,dwkQQ,1128,70
aTo90YHW,P7dnE,1267,44
z9ZRR92G,vysDy,1439,40
E1sEVza9,NS3pl,1382,14
AulOaEmw,0wvzU,1141,44
o4tcLv1x,grXTi,1284,116
7Lxm52Im,xNI2X,1337,108
LRmW5TMu,hJER9,1096,37
ZM2aS5Dy,6vRjC,1306,59
18py24oj,bbFYt,1310,31
Xbb74fIx,sLq1q,1323,55
Gxo6BHxB,sQ5ER,1128,33
7ijGQRTP,13MMQ,1345,111
rkwNKTak,WFOLR,1373,41
aEzq7JUV,ctI25,1429,63
HupX4U7k,th4ul,1438,33
LZMWqK9G,j77lo,1108,71
ky3PdQ7Q,lvCMz,1320,63
76rVpgXI,fl8jr,1411,49
AUWMMwgT,GQK4g,1249,46
bSMjj6dw,sSRR6,1301,82
kLWif6uZ,vwL60,1468,78
M75GyDnS,2h9m1,1568,56
NQkqk6Bj,gFh6s,1154,17
iD8MCB2g,Rx7VQ,1260,33
7yT6smDY,ZIO8J,1506,35
dqy1wzmi,irEQH,1309,80
hPuJsqbe,1z7A7,1465,70
EtPeo2gX,yQc0p,1060,76
z7KjSFoV,jx3YE,1260,74
xPm93p5O,LzFwF,1278,36
LqM06L3l,EAiOp,1289,98
bEvacldn,9Xyir,1331,48
XxUUtqBy,9W8gT,1339,30
KbQ027ri,9TC18,1147,91
42iJAdkc,7nJWp,1169,81
hQsJvTSV,6coyY,1176,93
58pASUAp,fSPU9,1295,51
lQ3gp0HN,ybpNx,1298,25
oURSCAYX,hgihE,1183,61
hO8Gl0k9,t4pK1,1321,81
ExDd4YKm,PNF74,1440,33
ghqE0sVq,Yay3T,1501,35
