game_id,puzzle_id,puzzle_rating,puzzle_initial_ply,puzzle_url
Ju6DfgRH,xXBll,1077,32,https://lichess.org/Ju6DfgRH#33
SnLGul9T,wm3Ut,1148,70,https://lichess.org/SnLGul9T#71
QXQT22yX,chQiz,1272,14,https://lichess.org/QXQT22yX#15
7vSxGxqb,kVmdH,1282,34,https://lichess.org/7vSxGxqb#35
WD8LN1vA,i0Fst,1282,26,https://lichess.org/WD8LN1vA#27
TgL41g6t,bzPcg,1317,68,https://lichess.org/TgL41g6t#69
AtnAHqLA,zACwB,1325,70,https://lichess.org/AtnAHqLA#71
hwuyXGhW,yOO8i,1181,46,https://lichess.org/hwuyXGhW#47
m7nnbIsD,khxEa,1296,62,https://lichess.org/m7nnbIsD#63
EGglMq4O,AlCCl,1326,44,https://lichess.org/EGglMq4O#45
EYiFDn0p,YQfNW,1075,71,https://lichess.org/EYiFDn0p#72
LJgw5dbY,aRpqq,1271,51,https://lichess.org/LJgw5dbY#52
mF21jefM,MzwZz,1293,59,https://lichess.org/mF21jefM#60
LBjYF8GP,aBd0d,1379,27,https://lichess.org/LBjYF8GP#28
o2IRj6E3,FTvhx,1411,97,https://lichess.org/o2IRj6E3#98
QXF6MdM7,5SeaE,1147,26,https://lichess.org/QXF6MdM7#27
Jx5w3Jtt,7id5U,1187,34,https://lichess.org/Jx5w3Jtt#35
bFkmDuea,6Jyc2,1394,40,https://lichess.org/bFkmDuea#41
40Rlab41,kIO8v,1417,56,https://lichess.org/40Rlab41#57
acfXOpBB,JELIf,1142,57,https://lichess.org/acfXOpBB#58
MQ1WYZMS,xihS6,1155,63,https://lichess.org/MQ1WYZMS#64
n3AZESIa,BSQUy,1189,135,https://lichess.org/n3AZESIa#136
a7rHhEcj,cT4lT,1277,43,https://lichess.org/a7rHhEcj#44
lX86S531,6BIhz,1279,63,https://lichess.org/lX86S531#64
KyDzxYur,6v8GO,1301,98,https://lichess.org/KyDzxYur#99
BuTaVXBR,5oMtn,1312,32,https://lichess.org/BuTaVXBR#33
1CIx9CM9,P99aq,1430,26,https://lichess.org/1CIx9CM9#27
BIXCtOqN,gQHuk,1183,71,https://lichess.org/BIXCtOqN#72
yP6zLjQE,TUo50,1299,47,https://lichess.org/yP6zLjQE#48
i8QKLUsV,ZwtcN,1398,77,https://lichess.org/i8QKLUsV#78
LRAlor8u,vRNKk,1397,95,https://lichess.org/LRAlor8u#96
21YwmdAn,NLder,1154,66,https://lichess.org/21YwmdAn#67
6eP4SVXl,KFGxc,1293,64,https://lichess.org/6eP4SVXl#65
GGhpthgY,f9Avo,1417,72,https://lichess.org/GGhpthgY#73
uhB0wpXR,Z6cqt,1074,68,https://lichess.org/uhB0wpXR#69
FHitqTHI,tbuY4,1147,28,https://lichess.org/FHitqTHI#29
UO3MS4W6,060Q4,1274,48,https://lichess.org/UO3MS4W6#49
lPERUZBn,urRUv,1299,26,https://lichess.org/lPERUZBn#27
4yJaIZHI,FPRp9,1313,22,https://lichess.org/4yJaIZHI#23
