id,status,my_rating,my_score,my_color
"ebQKtjgj","resign",1432,0,black
"P60hm7eW","stalemate",1432,0.5,white
"Q4Yn28ug","resign",1427,1,black
"IlJYuex6","resign",1433,0,black
"Yqd1GoCv","resign",1439,0,white
"qNlr2AV1","timeout",1445,0,black
"xeKeRl4B","resign",1439,1,black
"3NoijwCc","resign",1446,0,white
"VSi6TyRE","mate",1439,1,white
"z8jedbN7","resign",1445,0,white
"0kLq2Q99","resign",1452,0,black
"iXJeyp4B","mate",1448,1,black
"HB2nf0fi","resign",1455,0,black
"r3h9SiLI","resign",1447,1,white
"zGLRjJ4r","outoftime",1453,0,black
"jcPpqeUR","mate",1447,1,white
"9R4lxcu3","outoftime",1454,0,white
"gTfGPl5U","resign",1447,1,white
"opIllnQU","resign",1442,1,black
"CCvIT9s2","mate",1437,1,black
"2yVmMv7j","mate",1430,1,black
"nxLrvJ2k","resign",1425,1,white
"CpRc0qRv","outoftime",1420,1,black
"DMPnHIN2","resign",1414,1,black
"u1ZIW4cB","mate",1408,1,white
"0xgNwz4a","mate",1401,1,white
"lNhRsJXh","resign",1407,0,black
"QtjHcuT6","resign",1401,1,white
"IgQJOxTk","resign",1406,0,black
"JjLncnKX","resign",1399,1,white
"1OKd6DC0","resign",1405,0,black
"Kn6AVAn1","resign",1413,0,white
"AsZX8Jj7","outoftime",1419,0,white
"EUCfTer8","resign",1426,0,white
"6SQ32RUa","outoftime",1433,0,black
"0jWLMx4L","outoftime",1439,0,black
"ptC5cfAs","resign",1434,1,black
"dQ7Ci9na","mate",1440,0,white
"2pNfPdUg","resign",1446,0,white
"CoiKqBwc","resign",1440,1,white
"WJmH18h3","resign",1446,0,black
"K5GNQlk2","resign",1440,1,black
"q2SXCx19","resign",1446,0,white
"sg6IimcP","resign",1453,0,black
"GVtohlPM","outoftime",1446,1,black
"m3SwMzwv","outoftime",1451,0,white
"wlu9pc9i","timeout",1458,0,black
"v7Kij2ov","mate",1465,0,white
"kwXGCHiZ","resign",1469,0,black
"acaWCBpp","resign",1464,1,black
"OdVx4Djk","outoftime",1464,0,white
"9oX0F4EV","resign",1470,0,white
"TdxfzB2c","resign",1476,0,black
"sc0mHdhw","outoftime",1470,1,white
"JIFXQ8vn","resign",1463,1,white
"ocp6KAOl","outoftime",1469,0,black
"RpKFdLR2","mate",1475,0,black
"rvm7Ptbf","resign",1480,0,white
"gbM47IQ2","resign",1487,0,black
"X7crV7eF","mate",1481,1,white
"ul53sTsj","resign",1487,0,white
"5dIyri4W","resign",1493,0,black
"xQvHcEyS","mate",1486,1,white
"AZMqHVxJ","mate",1492,0,black
"yIoWXkMN","resign",1499,0,black
"v4XTF21C","outoftime",1492,1,white
"HIiW1KWR","resign",1498,0,white
"GFtbiYMN","resign",1503,0,black
"RTddZ8Zy","mate",1510,0,black
"mTIe2Cta","resign",1504,1,white
"UaJTpf9R","resign",1497,1,black
"4zNVvlCJ","mate",1502,0,black
"oHQhPO3a","resign",1508,0,white
