id,eco
"ebQKtjgj","D00"
"P60hm7eW","C01"
"Q4Yn28ug","C62"
"IlJYuex6","C44"
"Yqd1GoCv","C25"
"qNlr2AV1","C44"
"xeKeRl4B","B00"
"3NoijwCc","C25"
"VSi6TyRE","C25"
"z8jedbN7","B00"
"0kLq2Q99","C44"
"iXJeyp4B","B00"
"HB2nf0fi","C58"
"r3h9SiLI","C25"
"zGLRjJ4r","C25"
"jcPpqeUR","C48"
"9R4lxcu3","C47"
"gTfGPl5U","B01"
"opIllnQU","C20"
"CCvIT9s2","C55"
"2yVmMv7j","B00"
"nxLrvJ2k","B33"
"CpRc0qRv","C44"
"DMPnHIN2","C24"
"u1ZIW4cB","C29"
"0xgNwz4a","C42"
"lNhRsJXh","B00"
"QtjHcuT6","C62"
"IgQJOxTk","D04"
"JjLncnKX","B01"
"1OKd6DC0","A00"
"Kn6AVAn1","C25"
"AsZX8Jj7","B32"
"EUCfTer8","C25"
"6SQ32RUa","D02"
"0jWLMx4L","C44"
"ptC5cfAs","C62"
"dQ7Ci9na","C50"
"2pNfPdUg","B01"
"CoiKqBwc","C00"
"WJmH18h3","C24"
"K5GNQlk2","C47"
"q2SXCx19","B06"
"sg6IimcP","B00"
"GVtohlPM","A45"
"m3SwMzwv","B10"
"wlu9pc9i","C34"
"v7Kij2ov","B00"
"kwXGCHiZ","D01"
"acaWCBpp","A45"
"OdVx4Djk","B07"
"9oX0F4EV","B01"
"TdxfzB2c","C42"
"sc0mHdhw","C25"
"JIFXQ8vn","C65"
"ocp6KAOl","A45"
"RpKFdLR2","B00"
"rvm7Ptbf","B12"
"gbM47IQ2","C50"
"X7crV7eF","B01"
"ul53sTsj","B00"
"5dIyri4W","C25"
"xQvHcEyS","C25"
"AZMqHVxJ","B00"
"yIoWXkMN","C29"
"v4XTF21C","B01"
"HIiW1KWR","C29"
"GFtbiYMN","C56"
"RTddZ8Zy","C55"
"mTIe2Cta","C42"
"UaJTpf9R","B00"
"4zNVvlCJ","D00"
"oHQhPO3a","C25"
"GfooWxNT","C47"
"4JUDnYDT","C25"
"BUB8T4jP","B00"
"6eQ0Sjph","B00"
"leRrLdP3","B10"
"Ff3CJBpJ","C42"
"BhFFMeKM","E60"
"cQEMDDYq","C62"
"ZO74KFXT","C55"
"CwbAETNk","C01"
"u6DHrPTC","B00"
"PKIE95PB","C44"
"XxmgIGrS","C01"
"UQQnEd2Z","C55"
"zDoMmBeP","A06"
"dLZbFrJP","B00"
"Yxj6hbCh","C47"
"6OuWFmFe","C47"
"Bm8uchHf","B45"
"0T1mxDCe","B00"
"C7DZGN4K","C41"
"zKoBPuhC","C42"
"RMgLHK4E","C62"
"P4e1PvfR","B13"
"j8UBywgm","C44"
"SjdHSYcK","B32"
"4Fhj00vK","D04"
"wKpQlBOz","C25"
"EMyTfuQM","D02"
"hRF0ezaJ","C59"
"TjcXuYKY","C41"
"fPadBVkL","C01"
"UjZeydFg","A01"
"8KYjeZQj","C01"
"ABP0fhZ4","A00"
"G8BTkwLk","B44"
"LKM3id9O","C47"
"kWO7zr1A","B01"
"JKIrSYq6","C46"
"BOPhaLl9","C25"
"Hs3lpaup","D20"
"HSPt4c4l","D20"
"1Ps2jbgW","C26"
"7olqBsI5","C47"
"v2Bd4yQH","B06"
"mTtMk8ko","C00"
"erfJ2GEO","B06"
"9rDglOAm","D02"
"tzfZ9wwf","C26"
"l406pOgQ","B06"
"MwLvBen0","C44"
"uNesq15P","B06"
"xgH1g9mL","A48"
"f1V3NaK9","D00"
"n6YsgWfe","B32"
"6J3QzSXu","C25"
"dpq41qRR","C50"
"ohg6Zavc","C01"
"8nlc7U9P","C48"
"KA4SRKGz","C55"
"yxw5ETh3","C42"
"T7wRaYwY","B00"
"9VS3Nm6X","B00"
"Kjgm7JpO","B01"
"x43JOik5","C54"
"LxEFxCAh","C62"
"B6z9Ms0S","B01"
"0eBVfTwR","B00"
"CtSGh5BB","B06"
"y4ES6Kis","E60"
"6VKuUU6r","C44"
"Z3NUiQA1","B00"
"alUW5ETa","A45"
"ioLdq3md","C47"
"euVFHQ7J","C44"
"cWGoCuXJ","C58"
"YqhI3SMF","B00"
"yMkAU8PD","C25"
"WCRf0GFG","C01"
"6dfSC6P0","C46"
"teJtOvkn","C24"
"yygCTXGN","C25"
"8FIfHHtf","C46"
"eawIJz6X","C48"
"BYtnvPg5","C23"
"Wc9JeGWD","B10"
"jhKbL4dG","C62"
"lr70saBx","C24"
"wngNmXPv","C25"
"bYln5sZe","C25"
"C6LUYTeU","C25"
"2wccmhYb","C62"
"7cFreveG","C50"
"6zvRAMkG","B01"
"roUUp1uw","B00"
"3RBqYdxG","A00"
"VOUv3iqN","B01"
"izVuq71L","B01"
"yMU8mPFT","C29"
"R90gCUoC","C25"
"SMpcnf3K","B00"
"C6VSKDIg","C00"
"P728jBDB","B06"
"LjxBOaaq","A53"
"9Dl03G1P","D02"
"wNdiC0l7","A00"
"fVaQNPAj","C29"
"YugDUfWN","C55"
"MIezJ3cm","C46"
"1v6CRgOS","C44"
"hh04VdEo","C50"
"QtecyESL","B00"
"it1MlQ5W","B00"
"pmiaCUTn","C44"
"ekKTBgYk","C64"
"sIEfEv3C","B40"
"9n7NNvG8","A00"
"9RlPi3nO","C46"
"xEDRvfI6","C50"
"0XEpXuEP","C50"
"5gEk4pSn","D00"
"CuNIp0v4","B06"
"Q33NgiXP","C01"
"u6KCiz1s","D07"
"YbCfBigi","C56"
"ltXY2Vnt","C58"
"jxxWFmR0","C48"
"oyDj95Dv","C41"
"4cwVfQza","C20"
"qtzZvdMG","C47"
"gxSYPO1X","C50"
"Py30LWWv","B00"
"i5VusopD","B50"
"jzQ4E65Y","C62"
"tjTbvKrb","C44"
"JsHdwXEQ","C62"
"ybeEXb0e","B00"
"2vAsSriV","B34"
"yQdWRytR","C62"
"TwKY6QME","C42"
"jEeJPm0b","D01"
"Jrb5IFRi","C47"
"Eps5OTK5","C47"
"QN6Mv3YO","B00"
"4ABT21Cx","C01"
"185FO2nd","B00"
"5stIYHQo","A06"
"IY6rdANi","B00"
"qQwIrwU0","B00"
"0sCVdNW9","B10"
"lrHyLK9a","C62"
"leD3nCNu","B13"
"BhgTkjCo","C44"
"Z8f3xNdv","A06"
"QRFRYI5S","C50"
"EVKvmnI6","C41"
"G2MT2pHa","C25"
"OmQsYdbu","A53"
"A3rn2VH1","C50"
"QH6C0t5E","C41"
"v96tq1uf","A40"
"LWdASJpx","C45"
"JzAIycOK","B32"
"96J6jwKh","C71"
"5Qvafmyq","A20"
"yaTzeLBX","B00"
"U7URKr8w","C40"
"654rFN77","B33"
"7jlmPS1x","B42"
"Jy7vb07M","C54"
"rJyjeLF5","C44"
"3kHa1Bk6","C54"
"JNKO3Yd5","B45"
"d3hyFXtO","D00"
"rml5PHD8","B06"
"DufsQm0K","A15"
"OB01hEFf","C46"
"E4YZrKFh","C40"
"sCeIZt4u","C44"
"5gufl0ql","B01"
"U7lLy2SF","C47"
"Dkdov7Dd","B13"
"4efYadp9","A48"
"MJlp85UL","C41"
"YcnK5Puu","C20"
"JcXNjCUC","B00"
"LrR0t7hf","B40"
"eXCQwU7s","C44"
"0jfSpF2D","C22"
"00f1Zbon","C41"
"tq6zyQCD","C47"
"uJIwkm4x","B00"
"3d7PzZLO","C20"
"3c3hvnAa","C44"
"f7cNal23","B06"
"9SWmy8VZ","B30"
"U1LA0EgC","E90"
"93uHZFeA","C44"
"EsgORudN","C44"
"7G4nrhpY","B01"
"YATlZPWW","C55"
"M5fZh1DD","B01"
"0baPv3vn","B30"
"EOk0Phlz","C26"
"voL4biUw","B32"
"BxlOXeln","C40"
"dcQ67e3i","C55"
"LJIFfwdX","A20"
"CpqroXZV","B00"
"HMbm4oSp","B27"
"dhcslIzk","C50"
"u1eO8cQV","A53"
"JtUXaUf6","C45"
"jsPHmwMW","B03"
"zcSld6Jv","B30"
"8YozGItl","B00"
"tBmlriKT","C45"
"mwBpFze0","C46"
"yIht7e7A","D02"
"2bzUCCL7","B32"
"BtJAQJDc","A00"
"lI8blyVQ","C41"
"XkFjpqg3","B06"
"2koD8Vhz","A45"
"FjpZsJ7N","B00"
"GyQzhWRb","C44"
"vuXm2evT","B34"
"NDm258xt","C41"
"caVsczkO","C30"
"4RaVK33k","B40"
"V542TflI","C24"
"GhMn5XCU","C29"
"oepg1Qx3","D00"
"QZoTLDiR","D00"
"w4c06mBe","C42"
"wkERhygT","C24"
"Q6IU903T","C25"
"ugL0GDjk","B34"
"E8FIT0Dv","C25"
"Hnl8QYYv","A05"
"gxnr5MY4","B32"
"legAfL3E","B32"
"QCvckGi0","D00"
"ojGJ4ekH","D07"
"Fe6pzlkE","B00"
"gs0Ct0iP","C62"
"hnVYY0At","C44"
"dfB8jwT4","A05"
"GB2Ej6cd","C24"
"e8Tdvbra","C54"
"DIbI9OR2","C41"
"BZ2E73g0","C28"
"MAab67BJ","E60"
"4rLVNoAR","C65"
"13qWCtTp","C44"
"xgWU2y7s","C42"
"5nHUMR40","C62"
"kjS5a1lg","C47"
"KsAFJESK","C50"
"JOIwMgpu","C01"
"eNoC4Np5","C44"
"sh0rPNRZ","C24"
"3l6RCHa5","C23"
"dB1BQaUC","B01"
"Tyvzxwb5","C50"
"Yd1vRs2S","C46"
"UALP5fBe","C00"
"B8MY0HOu","A48"
"TSBRznDX","C29"
"RmpRVO9m","C28"
"ne3JSq2h","C25"
"7zA3CLsD","C55"
"usGjquhk","C47"
"Y1HqeIix","B42"
"zZmPvLX5","B10"
"z7uu40Zi","A00"
"Y64nBF2g","C40"
"U3Xr7Zya","C01"
"6S6YZ4RO","C56"
"VFQKfxuj","B40"
"V1ourjGl","C58"
"k4PvxwCN","B01"
"8bVzbReh","E60"
"6415T9Qt","C00"
"6lYyA5MO","B01"
"vyV1G4xc","B02"
"x4cMwWQX","C50"
"xJfy6W02","E61"
"jX0W3XlI","D02"
"41VBAKox","B10"
"RiZSSUlj","A01"
"SORRcd2G","B08"
"xW9w8aVn","C42"
"vpOVIYEN","A20"
"uhkBUFLI","C21"
"KHrHr3TZ","B21"
"poTGYdVO","A45"
"ORsOpOrD","C41"
"ajf5U2im","C45"
"EKG7SN8l","B00"
"a1EipJy1","D00"
"luKY5hcv","B12"
"3FOazCK9","C44"
"c4w9Q1l6","C55"
"09mFS4vM","C46"
"UD0ZF1nc","B06"
"ukT1hCft","C25"
"SGcb2ReI","C25"
"ltIwmAkw","D00"
"BqWLFsa9","D00"
"uoR9Lif5","B23"
"psGp0GPd","C25"
"FDuDW9Mc","B08"
"uwyCubRu","B09"
"Fu3UejCY","B00"
"gK2sDjwQ","C55"
"vtSMznrj","B06"
"TsPGLzaR","A00"
"2y1PG9LL","A46"
"Q7IOoIJA","C25"
"ScDP5iNu","C50"
"66W97mNT","C45"
"AdXxYU0z","C44"
"zGiv91uE","C50"
"fb58xJVJ","C25"
"Zcrz90ES","C62"
"IRgN7JZ0","C62"
"mOr2S8ui","C47"
"QOvDitOt","C23"
"HOUWazCa","B00"
"QzHztplL","C56"
"yI61iSFH","B15"
"HwjEuDkh","C24"
"AtfbVz4Z","C29"
"kNHg9VCp","C62"
"YC7v8wpg","C25"
"YQbZvY1Q","B22"
"5FVTi1qN","C45"
"V1vWbfms","C24"
"mZUrjWhA","C46"
"zeQLNaLE","A22"
"LlvdvX5V","D00"
"aScorfoj","B32"
"yMziEl9w","C44"
"c4wIQ3dD","C50"
"KM3GaMGE","B23"
"t2DUXOyc","B21"
"TBwcrfYC","E90"
"LuTQWNFO","B06"
"mwxqJQ2B","C46"
"L6reLx6X","A00"
"8u21PHsy","C00"
"NDdX1O8E","B02"
"fwHnRTnx","C20"
"oi8JwPXG","B02"
"0HbT5zcY","B00"
"nA3hcUiZ","C50"
"IVRKMRCF","D00"
"jR4NDLbC","D00"
"q8qpUEf7","C46"
"nyIgSrSb","A45"
"eQEzyJGk","C46"
"1jRVW1ps","C41"
"HOqnuLQY","B23"
"M5jV2K8P","A48"
"NdlSG60w","C28"
"qzhBDaPL","C00"
"Z7bmziTO","C58"
"Ey3bvGBP","B10"
"cAZcR6ZP","A45"
"Ss1vb7Re","C11"
"lg4d0Bo7","C45"
"y7iqgrOX","B32"
"CgKvxf2v","A45"
"Uk2qFaUY","E61"
"bwk4VHMO","B40"
"xsvQgXRe","B13"
"YOp24Vky","C62"
"SlgUkiPm","C01"
"QQsu6CEh","B02"
"npAXmLKK","C45"
"Uo8uyLd7","C25"
"NtA6Z3ni","C47"
"7UwzXKXx","B43"
"10Zz78fJ","A45"
"Uv4SgebA","D06"
"Vf3nYnuC","B02"
"GocPPyHk","C25"
"CQAPoAgf","C48"
"08b2T8iQ","C47"
"g7MSTdxU","C34"
"boL46S2Z","C25"
"gsDH5jPS","A00"
"RoMw62N2","C01"
"r9Sj7QmO","C44"
"OXHm2DOY","B34"
"pVdA9nsG","B01"
"EZGDmFqn","B02"
"o5rxb9oQ","A45"
"I1h68xod","B12"
"H1jQLzka","A06"
"qWkVtvTV","A48"
"LTAf5zhf","C45"
"vdJfPkOR","A45"
"pO903YMg","B02"
"4sCeu0G2","C00"
"sR3RPw6Q","C47"
"v82aTym6","B06"
"1T9jFMQl","C25"
"XKfo0Kvo","C46"
"BLtc9NZa","E90"
"QCGxSRhk","B50"
"iY4SHiZf","B23"
"NT13q1Fb","A01"
"mNZGpU8j","C62"
"x7fjU4lh","B00"
"mva973GX","B23"
"Q2YZBPKC","C45"
"j05vRTZO","C47"
"Og4niRhf","C44"
"T69C7TND","B01"
"iPjhGBA3","A45"
"jCnpVUq0","A46"
"E0EHTSWL","E90"
"8WgGqYqn","C46"
"yHvtuVnQ","B23"
"gAapyZl2","C42"
"j9QGlxUK","D04"
"dTdm0ehG","C46"
"pEEyIwor","C47"
"x4TaQ8qy","E91"
"EeYJP7V9","B01"
"n4ji1vba","C01"
"vE2zNktu","E70"
"biGjyZR1","E61"
"92t3dkoA","C25"
"WsxGYQ8l","B00"
"IkOuLbhg","E91"
"rpG54J8B","C47"
"sdUcn1hL","A45"
"EVaOOs8B","C46"
"FkErEtiM","C46"
"8lEI0Utv","D00"
"Oepbss9N","B00"
"FA92dFoT","C25"
"bXvblRZq","C47"
"NaafRJxD","A48"
"Aszon5rv","A45"
"yVIbhRmV","B06"
"06MVCrbx","B00"
"b07jgWht","C24"
"jaD84Ofs","C47"
"IGUaP4jO","C48"
"lCv8ma3G","B02"
"RNk6emxO","B08"
"k5zcBWPz","B02"
"7H8jqPj9","C46"
"CSwusiCj","B02"
"AhSN8X0z","B00"
"sW3dGfLB","C47"
"dsG8dhdB","C25"
"Eg4QDkIL","B10"
"lHNkGCZ6","C66"
"eoYJHA4S","B27"
"xL5pselS","E90"
"Zjoh8lT9","C65"
"kAgcUrEK","D02"
"GBmSANvg","C50"
"3JF3t0jY","C45"
"iid3XQ8w","C00"
"M2OE2Qy0","C58"
"ssUzx9a8","C50"
"GpW43ZSe","A00"
"WaN3k8Py","C45"
"01kLbIIl","C50"
"jCGsc7qr","D02"
"bek3C4LD","B10"
"6iEIjzXI","B23"
"9OdGJH4K","C34"
"CWzPgbPX","D00"
"pWCrS2HV","C46"
"agao8U4E","B10"
"CYw4IaIz","C28"
"4nmegdWj","C25"
"TZPvvBe4","A45"
"4UBRm8kB","C29"
"kUsddumX","C25"
"OKggvF6h","C25"
"UIirxi2S","C24"
"KovGwLNK","C00"
"r3PDNvKn","C24"
"lNvGELaV","C46"
"5Ir8OKpQ","C41"
"mweiUwDt","C47"
"C5gAIR7G","C13"
"bPXtnEb2","C00"
"M7MX3y8N","B06"
"ALrFevFy","C54"
"JNiM6bXX","C42"
"JXgoRnkK","A06"
"YZtRWa52","C50"
"WpVtCO2l","C46"
"srd76XmZ","E61"
"xyTpOSJf","B01"
"CyvZP3yS","C62"
"Vn7eOdBf","B08"
"V7Wq8nTJ","B45"
"L1Ius6Ka","B45"
"JDJMP9lR","C20"
"iSPHjE1e","C65"
"7gyX0bRX","C44"
"URFD632G","B01"
"O9MdP4zv","C25"
"bCsOdZzh","C25"
"WTGRYNOT","C29"
"pfvy9zoB","C20"
"Xxmib5y6","C41"
"Z1klCdec","A45"
"hSZ8qDEc","D00"
"ThUKlBKR","B00"
"CpVRWldA","C50"
"mul8YHg1","C50"
"ApHF8zOV","B18"
"tnzgNiW8","C44"
"XpFaWzGL","C25"
"YNVkHqpP","C41"
"ZUXRcO8G","A53"
"jYsOzlyQ","C48"
"164Xgylp","E60"
"qPbYww4s","C50"
"VTqdbvDx","C22"
"QDVRnbet","C47"
"Yf8B081n","C50"
"SBSzRVJy","B06"
"vOS6eh0W","C44"
"T0hQcPul","C01"
"k10PyWXC","C45"
"KPCqT2fO","C21"
"AP0LN31B","C46"
"AKHKXNU8","C25"
"lxqtF5xT","A03"
"Go1FIhtd","B27"
"0jD7kM6K","C46"
"MjJCOna7","C01"
"g7kEsymI","A45"
"GjXsU7Xe","A00"
"2fIJkKsJ","C62"
"HVLxjsUe","B23"
"BGxZX1LH","B30"
"yf1KUKYv","C50"
"Z3HYurGj","B01"
"DX86chOo","E60"
"4GGy742Y","C23"
"EITDidR1","C25"
"zB6aGcgr","C24"
"ZYSGiUdy","C58"
"Fp7uaAgt","B01"
"TKN6pjzE","C47"
"B5NG3Fbi","C29"
"0xrtaa15","E76"
"K2s48yMq","C29"
"6yr8IdjG","C47"
"X3XCOVkf","B01"
"Rg6SwAXY","B01"
"djTzqLn6","B07"
"FDu9Cd9s","C62"
"2uAZniS4","C47"
"rF0DffZ4","C01"
"VVOnjybj","C37"
"wRvLIPnP","B00"
"JAXfhwhH","C25"
"3yFhWuKq","C34"
"HPE1kK1b","C23"
"qP9NlHSl","C25"
"B5mfok24","B56"
"IWDBtVIj","A45"
"cGdV0QEB","C25"
"rcLyvoGA","A28"
"5b6OOzX0","C20"
"JDqnFMkr","B23"
"2IWoIrW3","A01"
"9N9RIRey","B01"
"w7mbspkk","C55"
"qVltVB3Q","C25"
"xPa1vkdr","B10"
"ZTCdbOrw","A45"
"XER5Sask","C62"
"skDqmpoh","C25"
"dgAiNQWl","C41"
"ltF7Banw","B04"
"5n7GZYSB","D03"
"uqSeNwx0","C37"
"EbhFR8cC","C25"
"PFjfwrby","C47"
"bQD6kMIV","C29"
"jDjNhdkT","B06"
"dlbdBt4V","C47"
"HQDYcOUK","E70"
"fie2fJwW","B01"
"b5uen2Kv","C47"
"pvW1tICN","C62"
"X8GjTUOJ","D20"
"iPKL275F","B23"
"jE66DWE1","C44"
"2Cl2vRhC","C25"
"YJ0ZFF9l","C62"
"A8RIN98v","C28"
"0RgMtaHw","C41"
"5hIywTsC","C48"
"tqkNox60","C46"
"eWwwPSoX","C41"
"DXbFc31L","C24"
"yDzqQjAt","C23"
"r2VywobH","C42"
"drEvgGqq","D00"
"l8OOgqkg","C46"
"5Lo9Dkq0","C23"
"qNLfM10z","B01"
"0X7N2Xzu","A00"
"Gi5Gg89D","A45"
"EBKUjTB1","C00"
"TrvgLmXA","D06"
"KPhtmsCo","B01"
"4Mrz9Vfp","C29"
"yKhScYio","C55"
"EU1x0F0r","C47"
"c9jaHCTY","B23"
"9cSnTQ7E","A45"
"dVgqW2ou","C58"
"UrPwj8SZ","C25"
"qgwbbhVm","C44"
"cPhOVBWU","C44"
"GSM1MhnY","C46"
