puzzle_id,themes
0C8H7,"[""endgame"",""crushing"",""long"",""pawnEndgame"",""defensiveMove""]"
0L9IL,"[""endgame"",""advancedPawn"",""master"",""crushing"",""rookEndgame"",""long"",""promotion""]"
0UXBd,"[""endgame"",""master"",""short"",""crushing"",""pin""]"
0aeP1,"[""short"",""endgame"",""mateIn2""]"
0cFyo,"[""endgame"",""crushing"",""short""]"
0f00y,"[""middlegame"",""operaMate"",""oneMove"",""mateIn1""]"
0wI1k,"[""middlegame"",""crushing"",""long"",""kingsideAttack""]"
137k9,"[""endgame"",""master"",""crushing"",""long""]"
19sqK,"[""endgame"",""advancedPawn"",""master"",""crushing"",""long"",""promotion""]"
1EGHn,"[""crushing"",""long"",""endgame""]"
1qLAQ,"[""veryLong"",""middlegame"",""advantage"",""kingsideAttack""]"
1wtq5,"[""mateIn2"",""middlegame"",""short"",""kingsideAttack""]"
2LzWX,"[""mateIn2"",""middlegame"",""short"",""fork""]"
2Q692,"[""advantage"",""long"",""middlegame""]"
2QWVh,"[""crushing"",""short"",""endgame""]"
2Xoc5,"[""crushing"",""discoveredAttack"",""long"",""middlegame""]"
2g1O9,"[""mateIn2"",""middlegame"",""short""]"
2llpE,"[""endgame"",""advantage"",""long"",""pin""]"
30A8o,"[""advantage"",""kingsideAttack"",""short"",""middlegame""]"
3Fqz4,"[""middlegame"",""crushing"",""fork"",""short""]"
3ME9d,"[""exposedKing"",""endgame"",""advancedPawn"",""attraction"",""long"",""mateIn3"",""promotion""]"
3pXp8,"[""advantage"",""short"",""endgame""]"
3qDqV,"[""deflection"",""endgame"",""advantage"",""fork"",""long"",""discoveredAttack""]"
42fnN,"[""oneMove"",""mateIn1"",""middlegame""]"
457yP,"[""short"",""advantage"",""endgame""]"
49YoG,"[""middlegame"",""crushing"",""short""]"
4LCVN,"[""advancedPawn"",""middlegame"",""oneMove"",""promotion"",""mateIn1""]"
4WkgN,"[""mateIn1"",""oneMove"",""middlegame""]"
4ZuZ2,"[""middlegame"",""crushing"",""short""]"
4jEB3,"[""oneMove"",""opening"",""mateIn1"",""attackingF2F7""]"
4mKkV,"[""advancedPawn"",""advantage"",""fork"",""long"",""opening""]"
4qaqq,"[""endgame"",""rookEndgame"",""oneMove"",""mateIn1""]"
4tkMP,"[""oneMove"",""mateIn1"",""middlegame""]"
4uiuq,"[""middlegame"",""crushing"",""attraction"",""fork"",""long"",""sacrifice""]"
4vEAC,"[""middlegame"",""advantage"",""quietMove"",""long""]"
4wTjL,"[""deflection"",""short"",""backRankMate"",""endgame"",""mateIn2""]"
53zof,"[""advancedPawn"",""middlegame"",""attraction"",""long"",""doubleCheck"",""discoveredCheck"",""crushing""]"
5LCSS,"[""advantage"",""short"",""opening""]"
5NSJs,"[""middlegame"",""advantage"",""short""]"
5V0ks,"[""endgame"",""master"",""short"",""crushing"",""fork""]"
5jz06,"[""endgame"",""short"",""crushing"",""discoveredAttack""]"
5k6h6,"[""endgame"",""crushing"",""short""]"
68DIv,"[""deflection"",""short"",""pillsburysMate"",""endgame"",""mateIn2""]"
6ApPh,"[""deflection"",""endgame"",""master"",""short"",""crushing""]"
6CIGk,"[""mateIn2"",""middlegame"",""short"",""kingsideAttack""]"
6HmW6,"[""oneMove"",""mateIn1"",""endgame""]"
6MC3L,"[""mateIn2"",""middlegame"",""short"",""sacrifice""]"
6ja91,"[""exposedKing"",""endgame"",""operaMate"",""long"",""mateIn3""]"
